game,score,mean_reward,eps,time,loss
0,0,-104,0.9933,21,0.0
1,0,-105,0.9865999999999999,12,0.0
2,0,-110,0.9798999999999999,83,0.0
3,0,-101,0.9731999999999998,4,0.0
4,0,-105,0.9664999999999998,18,0.0
5,0,-101,0.9597999999999998,2,0.0
6,0,-107,0.9530999999999997,8,0.0
7,0,-100,0.9463999999999997,9,0.0
8,0,-100,0.9396999999999996,5,0.0
9,0,-103,0.9329999999999996,4,0.0
10,0,-108,0.9262999999999996,21,0.0
11,0,-106,0.9195999999999995,39,0.0
12,0,-106,0.9128999999999995,17,0.0
13,0,-101,0.9061999999999995,16,0.0
14,0,-93,0.8994999999999994,10,0.0
15,0,-102,0.8927999999999994,35,0.0
16,0,-124,0.8860999999999993,81,0.0
17,0,-112,0.8793999999999993,45,0.0
18,0,-113,0.8726999999999993,80,0.0
19,0,-105,0.8659999999999992,8,0.0
20,0,-102,0.8592999999999992,9,0.0
21,0,-105,0.8525999999999991,38,0.0
22,0,-107,0.8458999999999991,172,0.0
23,1,-89,0.8391999999999991,55,0.0
24,0,-103,0.832499999999999,10,0.0
25,1,-96,0.825799999999999,20,0.0
26,0,-101,0.8190999999999989,14,0.0
27,0,-110,0.8123999999999989,21,0.0
28,0,-105,0.8056999999999989,26,0.0
29,0,-102,0.7989999999999988,43,0.0
30,0,-103,0.7922999999999988,4,0.0
31,0,-102,0.7855999999999987,5,0.0
32,0,-101,0.7788999999999987,20,0.0
33,0,-109,0.7721999999999987,32,0.0
34,0,-104,0.7654999999999986,7,0.0
35,0,-99,0.7587999999999986,46,32.75241267427485
36,0,-96,0.7520999999999985,39,78.60292224884033
37,0,-100,0.7453999999999985,3,57.75674819946289
38,0,-104,0.7386999999999985,21,83.22417415272106
39,1,-91,0.7319999999999984,13,77.5022394997733
40,0,-107,0.7252999999999984,16,83.91021683636833
41,0,-90,0.7185999999999984,19,85.5307149887085
42,0,-98,0.7118999999999983,57,87.45547847090096
43,0,-104,0.7051999999999983,41,85.89597293308803
44,0,-104,0.6984999999999982,25,81.72683627788837
45,0,-106,0.6917999999999982,53,83.03219109994394
46,1,-52,0.6850999999999982,102,80.170121239227
47,1,-89,0.6783999999999981,23,76.21848424275716
48,0,-100,0.6716999999999981,11,73.9697618484497
49,0,-95,0.664999999999998,22,79.6996605914572
50,1,-84,0.658299999999998,94,79.12978298789577
51,0,-106,0.651599999999998,83,78.3885700135004
52,0,-104,0.6448999999999979,21,68.86368387395686
53,0,-117,0.6381999999999979,90,74.31167376172412
54,0,-94,0.6314999999999978,27,78.37909984588623
55,0,-95,0.6247999999999978,16,73.78023820764878
56,0,-104,0.6180999999999978,17,68.63930066426595
57,1,-77,0.6113999999999977,117,75.41548492948888
58,3,-55,0.6046999999999977,157,69.76958658725401
59,1,-74,0.5979999999999976,98,69.43078827135491
60,2,-58,0.5912999999999976,125,64.5169259025937
61,0,-97,0.5845999999999976,12,60.60243313129131
62,2,-72,0.5778999999999975,59,62.207739194234215
63,0,-102,0.5711999999999975,3,36.35084915161133
64,0,-106,0.5644999999999974,7,49.682950496673584
65,0,-103,0.5577999999999974,80,64.83095536408601
66,0,-103,0.5510999999999974,26,61.07293545758283
67,0,-102,0.5443999999999973,49,64.3657536315918
68,0,-107,0.5376999999999973,16,60.62282494937672
69,0,-109,0.5309999999999973,14,61.55354309082031
70,0,-104,0.5242999999999972,9,62.43414649963379
71,0,-107,0.5175999999999972,10,63.349559263749555
72,2,-44,0.5108999999999971,83,64.92305982680548
73,0,-93,0.5041999999999971,66,65.6013798500175
74,0,-100,0.4974999999999971,15,67.18323826789856
75,1,-76,0.4907999999999971,34,65.38497172764369
76,0,-100,0.48409999999999714,5,48.49507204691569
