game,score,mean_reward,eps,time,loss
0,0,-103,0.9933,6,0.0
1,0,-101,0.9865999999999999,2,0.0
2,0,-101,0.9798999999999999,12,0.0
3,0,-104,0.9731999999999998,59,0.0
4,0,-100,0.9664999999999998,5,0.0
5,0,-102,0.9597999999999998,3,0.0
6,0,-107,0.9530999999999997,8,0.0
7,0,-101,0.9463999999999997,2,0.0
8,0,-105,0.9396999999999996,46,0.0
9,1,-81,0.9329999999999996,39,0.0
10,0,-103,0.9262999999999996,4,0.0
11,0,-86,0.9195999999999995,139,0.0
12,0,-106,0.9128999999999995,27,0.0
13,0,-110,0.9061999999999995,19,0.0
14,0,-107,0.8994999999999994,20,0.0
15,0,-98,0.8927999999999994,27,0.0
16,0,-103,0.8860999999999993,10,0.0
17,0,-103,0.8793999999999993,6,0.0
18,0,-113,0.8726999999999993,14,0.0
19,4,-25,0.8659999999999992,304,0.0
20,0,-110,0.8592999999999992,67,0.0
21,0,-90,0.8525999999999991,25,0.0
22,0,-83,0.8458999999999991,76,0.0
23,0,-101,0.8391999999999991,8,0.0
24,1,-77,0.832499999999999,37,0.0
25,1,-86,0.825799999999999,52,0.0
26,0,-111,0.8190999999999989,36,0.0
27,0,-101,0.8123999999999989,14,0.0
28,0,-110,0.8056999999999989,81,0.0
29,2,-68,0.7989999999999988,59,0.0
30,0,-101,0.7922999999999988,44,0.0
31,0,-100,0.7855999999999987,1,0.0
32,2,-47,0.7788999999999987,122,0.0
33,0,-105,0.7721999999999987,14,0.0
34,0,-104,0.7654999999999986,11,0.0
35,0,-104,0.7587999999999986,5,0.0
36,3,-42,0.7520999999999985,164,0.0
37,0,-110,0.7453999999999985,65,0.0
38,0,-99,0.7386999999999985,36,0.0
39,0,-101,0.7319999999999984,2,0.0
40,0,-106,0.7252999999999984,15,0.0
41,0,-100,0.7185999999999984,1,0.0
42,0,-104,0.7118999999999983,5,0.0
43,0,-100,0.7051999999999983,3,0.0
44,0,-102,0.6984999999999982,19,0.0
45,0,-103,0.6917999999999982,6,0.0
46,4,-22,0.6850999999999982,119,0.0
47,0,-95,0.6783999999999981,30,0.0
48,3,-51,0.6716999999999981,85,0.0
49,3,-47,0.664999999999998,73,0.0
50,0,-105,0.658299999999998,12,0.0
51,0,-103,0.651599999999998,10,0.0
52,0,-101,0.6448999999999979,2,0.0
53,4,-28,0.6381999999999979,133,0.0
54,0,-99,0.6314999999999978,4,0.0
55,0,-92,0.6247999999999978,27,0.0
56,0,-100,0.6180999999999978,1,0.0
57,2,-52,0.6113999999999977,121,0.0
58,0,-106,0.6046999999999977,17,0.0
59,4,-9,0.5979999999999976,130,0.0
60,0,-105,0.5912999999999976,26,0.0
61,4,-23,0.5845999999999976,200,0.0
62,0,-105,0.5778999999999975,6,0.0
63,0,-98,0.5711999999999975,9,0.0
64,0,-96,0.5644999999999974,27,0.0
65,0,-94,0.5577999999999974,35,0.0
66,0,-102,0.5510999999999974,7,0.0
67,3,-47,0.5443999999999973,71,0.0
68,0,-84,0.5376999999999973,71,0.0
69,0,-99,0.5309999999999973,30,0.0
70,1,-83,0.5242999999999972,93,0.0
71,0,-98,0.5175999999999972,13,0.0
72,5,27,0.5108999999999971,207,0.0
73,4,-40,0.5041999999999971,55,0.0
74,0,-101,0.4974999999999971,26,0.0
75,3,-52,0.4907999999999971,102,0.0
76,3,-21,0.48409999999999714,113,0.0
77,0,-95,0.47739999999999716,12,0.0
78,6,12,0.4706999999999972,135,0.0
79,3,-53,0.4639999999999972,47,0.0
80,6,-1,0.4572999999999972,90,0.0
81,4,-32,0.4505999999999972,123,0.0
82,0,-105,0.44389999999999724,6,0.0
83,1,-75,0.43719999999999726,45,0.0
84,0,-100,0.4304999999999973,3,0.0
85,2,-55,0.4237999999999973,38,0.0
86,4,-3,0.4170999999999973,160,0.0
87,2,-72,0.4103999999999973,29,0.0
88,0,-107,0.40369999999999734,8,0.0
89,2,-33,0.39699999999999736,98,0.0
90,0,-96,0.39029999999999737,17,0.0
91,2,-63,0.3835999999999974,32,0.0
92,3,-34,0.3768999999999974,94,0.0
93,0,-107,0.3701999999999974,8,0.0
94,2,-45,0.36349999999999744,82,0.0
95,0,-101,0.35679999999999745,2,0.0
96,0,-83,0.35009999999999747,22,0.0
97,4,2,0.3433999999999975,131,0.0
98,7,39,0.3366999999999975,149,0.0
99,5,-29,0.3299999999999975,71,0.0
100,5,-11,0.32329999999999753,71,0.0
101,4,-21,0.31659999999999755,102,0.0
102,6,47,0.30989999999999757,152,0.0
103,6,35,0.3031999999999976,154,0.0
104,2,-82,0.2964999999999976,23,0.0
105,0,-94,0.2897999999999976,17,0.0
106,0,-102,0.28309999999999763,5,0.0
107,0,-98,0.27639999999999765,19,0.0
108,0,-104,0.26969999999999766,9,0.0
109,3,-39,0.2629999999999977,67,0.0
110,0,-117,0.2562999999999977,18,0.0
111,4,-17,0.24959999999999768,74,0.0
112,4,-15,0.24289999999999767,68,0.0
113,1,-64,0.23619999999999766,64,0.0
114,6,20,0.22949999999999765,145,0.0
115,3,-9,0.22279999999999764,91,0.0
116,0,-103,0.21609999999999763,12,0.0
117,0,-97,0.20939999999999762,8,0.0
118,7,23,0.2026999999999976,105,0.0
119,9,113,0.1959999999999976,179,0.0
120,6,8,0.18929999999999758,133,0.0
121,4,-6,0.18259999999999757,83,0.0
122,2,-45,0.17589999999999756,50,0.0
123,6,36,0.16919999999999755,125,0.0
124,8,73,0.16249999999999754,166,0.0
125,1,-63,0.15579999999999752,47,0.0
126,3,-47,0.1490999999999975,63,0.0
127,0,-96,0.1423999999999975,7,0.0
128,0,-110,0.1356999999999975,11,0.0
129,0,-105,0.12899999999999748,6,0.0
130,9,33,0.12229999999999748,85,0.0
131,9,106,0.11559999999999748,190,0.0
132,5,10,0.10889999999999748,100,0.0
133,9,60,0.10219999999999749,108,0.0
134,8,77,0.09549999999999749,142,0.0
135,3,-23,0.08879999999999749,67,0.0
136,0,-97,0.0820999999999975,14,0.0
137,10,81,0.0753999999999975,126,0.0
138,4,-33,0.0686999999999975,52,0.0
139,5,28,0.0619999999999975,100,0.0
140,0,-109,0.055299999999997504,10,0.0
141,21,380,0.048599999999997506,344,0.0
142,5,-23,0.04189999999999751,43,0.0
143,0,-104,0.03519999999999751,5,0.0
144,8,53,0.02849999999999751,108,0.0
145,7,52,0.02179999999999751,108,0.0
146,6,32,0.015099999999997508,93,0.0
147,17,292,0.008399999999997507,282,0.0
148,13,175,0.0016999999999975065,187,0.0
149,16,263,-0.005000000000002494,258,0.0
150,13,163,0.0,177,0.0
151,15,185,0.0,183,0.0
152,0,-105,0.0,6,0.0
153,15,232,0.0,232,0.0
154,21,303,0.0,265,0.0
155,0,-100,0.0,1,0.0
156,22,411,0.0,362,0.0
157,28,464,0.0,371,0.0
