,game,score,mean_reward,eps,time
0,0,0,-103,0.9980000000000002,20
1,1,0,-97,0.9944000000000006,36
2,2,0,-107,0.9920000000000009,24
3,3,0,-114,0.9707000000000032,213
4,4,0,-100,0.9692000000000034,15
5,5,0,-110,0.9677000000000036,15
6,6,0,-110,0.964000000000004,37
7,7,0,-107,0.9630000000000041,10
8,8,0,-125,0.9510000000000054,120
9,9,0,-98,0.9501000000000055,9
10,10,0,-103,0.9441000000000062,60
11,11,0,-88,0.9372000000000069,69
12,12,0,-101,0.9324000000000074,48
13,13,0,-102,0.9215000000000086,109
14,14,0,-106,0.918200000000009,33
15,15,1,6,0.9170000000000091,12
16,16,0,-100,0.9169000000000092,1
17,17,0,-108,0.9160000000000093,9
18,18,0,-98,0.9045000000000105,115
19,19,0,-99,0.9029000000000107,16
20,20,0,-100,0.9028000000000107,1
21,21,0,-104,0.900100000000011,27
22,22,1,19,0.8882000000000123,119
23,23,0,-116,0.8837000000000128,45
24,24,0,-110,0.881600000000013,21
25,25,0,-95,0.8806000000000132,10
26,26,0,-100,0.8805000000000132,1
27,27,0,-105,0.8797000000000132,8
28,28,1,10,0.8701000000000143,96
29,29,0,-102,0.8692000000000144,9
30,30,0,-100,0.8683000000000145,9
31,31,0,-101,0.8679000000000145,4
32,32,0,-95,0.8661000000000147,18
33,33,0,-102,0.8614000000000153,47
34,34,0,-99,0.8590000000000155,24
35,35,1,-5,0.8553000000000159,37
36,36,0,-105,0.8511000000000164,42
37,37,0,-101,0.8479000000000168,32
38,38,0,-101,0.845900000000017,20
39,39,0,-101,0.8433000000000173,26
40,40,0,-104,0.8428000000000173,5
41,41,0,-97,0.8392000000000177,36
42,42,1,11,0.8325000000000184,67
43,43,0,-98,0.827800000000019,47
44,44,0,-101,0.8264000000000191,14
45,45,0,-109,0.8168000000000202,96
46,46,0,-102,0.8165000000000202,3
47,47,0,-101,0.8153000000000203,12
48,48,1,-3,0.8034000000000217,119
49,49,0,-106,0.8021000000000218,13
50,50,0,-100,0.8020000000000218,1
51,51,1,-3,0.8011000000000219,9
52,52,0,-103,0.7995000000000221,16
53,53,1,3,0.7902000000000231,93
54,54,0,-102,0.7899000000000231,3
55,55,0,-88,0.7810000000000241,89
56,56,0,-101,0.7808000000000241,2
57,57,0,-110,0.7797000000000243,11
58,58,0,-91,0.7767000000000246,30
59,59,2,101,0.7723000000000251,44
60,60,0,-110,0.7702000000000253,21
